PARENT,CMODEL,obj_file,sequence,Collection,Identifier,Title,Personal_Name_Creator,Corporate_Name_Creator,Personal_Name_Contributor,Corporate_Name_Contributor,Subject_Topic,Subject_Personal_Name,Subject_Corporate_Name,Location,Time_Period,Date_Created,Date_Issued,Publisher,Place_of_Publication,Description,Note,Type,Genre,Extent,Language,Rights,Owning_Institution,Digital_Format,Digital_Origin
metrotest:demo,islandora:bookCModel,,,The Catholic Church during Italian Unification,fu_cciu_2531947,Invito ai fedeli di Roma,,,,,Sexual ethics,,"Ospedale di San Giacomo (Rome, Italy)",Italy--Rome,Eighteen hundreds,,1806,,,"Pamphlet describing the creation of the Ritiro della Croce as an annex of the Ospedale di San Giacomo in Rome, with a mission to provide shelter and moral guidance for homeless youths treated for sexually transmitted diseases at the Ospedale di San Giacomo","Digitized by the Metropolitan New York Library Council as part of the Culture In Transit project, funded by a grant from the John S. and James L. Knight Foundation.",Text,Pamphlets,14 pages ; 15 cm,ita,Creative Commons Public Domain Mark 1.0 - for more info see https://creativecommons.org/publicdomain/mark/1.0/,Fordham University. Libraries,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947i.jp2,1,,fu_cciu_2531947i,Page 1,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947ii.jp2,2,,fu_cciu_2531947ii,Page 2,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947iii.jp2,3,,fu_cciu_2531947iii,Page 3,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947iv.jp2,4,,fu_cciu_2531947iv,Page 4,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947v.jp2,5,,fu_cciu_2531947v,Page 5,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947vi.jp2,6,,fu_cciu_2531947vi,Page 6,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947vii.jp2,7,,fu_cciu_2531947vii,Page 7,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947viii.jp2,8,,fu_cciu_2531947viii,Page 8,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947ix.jp2,9,,fu_cciu_2531947ix,Page 9,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947x.jp2,10,,fu_cciu_2531947x,Page 10,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947xi.jp2,11,,fu_cciu_2531947xi,Page 11,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947xii.jp2,12,,fu_cciu_2531947xii,Page 12,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947xiii.jp2,13,,fu_cciu_2531947xiii,Page 13,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
2,islandora:pageCModel,fu_cciu_2531947xiv.jp2,14,,fu_cciu_2531947xiv,Page 14,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
metrotest:demo,islandora:bookCModel,,,The Catholic Church during Italian Unification,fu_cciu_2531948,Regole dell'Ospizio della Ss. Assunta detto di Tata Giovanni,,"Ospizio di Tata Giovanni (Rome, Italy)",,,Vocational education,,"Ospizio di Tata Giovanni (Rome, Italy)",Italy--Rome,Eighteen sixties,,1869,dalla Tipografia Romana,Roma,"Regulations of Rome's Ospizio di Tata Giovanni, a center providing vocational education for poor and orphaned young men, founded by Giovanni Borgi, a Roman mason who from humble origins rose to prominence through papal commissions and became a philanthropist","Digitized by the Metropolitan New York Library Council as part of the Culture In Transit project, funded by a grant from the John S. and James L. Knight Foundation.",Text,Pamphlets,14 pages ; 17 cm,ita,Creative Commons Public Domain Mark 1.0 - for more info see https://creativecommons.org/publicdomain/mark/1.0/,Fordham University. Libraries,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948i.jp2,1,,fu_cciu_2531948i,Page 1,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948ii.jp2,2,,fu_cciu_2531948ii,Page 2,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948iii.jp2,3,,fu_cciu_2531948iii,Page 3,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948iv.jp2,4,,fu_cciu_2531948iv,Page 4,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948v.jp2,5,,fu_cciu_2531948v,Page 5,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948vi.jp2,6,,fu_cciu_2531948vi,Page 6,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948vii.jp2,7,,fu_cciu_2531948vii,Page 7,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
